AUC,,,,,,,,
Dataset,Node2Vector,GCN,NHP,RGCN,HGNN,GraghSAGE,CHESHIRE,CLOSEgaps
Yeast8.5,0.7422,0.7812,0.5301,0.9343,0.9111,0.9285,0.957,0.9899
iMM904,0.794,0.8086,0.5824,0.9085,0.8918,0.9276,0.9209,0.9838
iAF692,0.7672,0.8072,0.5835,0.9029,0.86,0.8842,0.9049,0.9784
iAF1260b,0.7541,0.7832,0.5915,0.8993,0.6064,0.953,0.9376,0.9821
iJO1366,0.7463,0.7634,0.6341,0.9173,0.8486,0.9373,0.9317,0.9755
USPTO_3k,0.792,0.8389,0.5255,0.8903,0.7399,0.8474,0.8695,0.9513
USPTO_8k,0.7507,0.8609,0.5134,0.9349,0.7833,0.8837,0.8886,0.9456
,,,,,,,,
Accuracy,,,,,,,,
Dataset,Node2Vector,GCN,NHP,RGCN,HGNN,GraphSAGE,CHESHIRE,CLOSEgaps
Yeast8.5,0.6909,0.7187,0.5109,0.7376,0.7922,0.836,0.9105,0.9573
iMM904,0.7282,0.6019,0.5718,0.6772,0.7767,0.835,0.8495,0.9369
iAF692,0.6637,0.6814,0.5911,0.6726,0.708,0.7212,0.8407,0.9115
iAF1260b,0.7074,0.6347,0.5435,0.7043,0.548,0.8204,0.87,0.9272
iJO1366,0.6822,0.6312,0.5525,0.7464,0.7187,0.8353,0.8834,0.9329
USPTO-3k,0.7225,0.7542,0.5233,0.7458,0.63,0.7558,0.7958,0.8925
USPTO-8k,0.6875,0.7647,0.5178,0.8088,0.6913,0.7941,0.8028,0.8772
,,,,,,,,
AUPR,,,,,,,,
Dataset,Node2Vector,GCN,NHP,RGCN,HGNN,GraghSAGE,CHESHIRE,CLOSEgaps
Yeas8.5,0.7644,0.7774,0.5134,0.953,0.8965,0.9443,0.9531,0.9885
iMM904,0.8279,0.8474,0.5556,0.9339,0.8809,0.9397,0.919,0.9828
iAF692,0.797,0.86,0.5669,0.9264,0.8577,0.8698,0.9099,0.9783
iAF1260b,0.7975,0.8335,0.5882,0.9261,0.6495,0.9584,0.9325,0.9827
iJO1366,0.7758,0.8245,0.627,0.9432,0.846,0.9568,0.9321,0.9758
USPTO_3k,0.7509,0.835,0.5378,0.8894,0.7389,0.8423,0.8489,0.9572
USPTO_8k,0.719,0.8654,0.4999,0.9336,0.7866,0.884,0.8804,0.9362
