,medium,description,bigg,name,vmh,modelseed,flux
0,TSB,Tryptic soy broth,h2o,H2O,h2o,cpd00001,100.0
1,TSB,Tryptic soy broth,o2,O2,o2,cpd00007,100.0
2,TSB,Tryptic soy broth,co2,CO2,co2,cpd00011,100.0
3,TSB,Tryptic soy broth,glc__D,D-Glucose,glc_D,cpd00027,13.88
4,TSB,Tryptic soy broth,sucr,Sucrose,sucr,cpd00076,0.4382120947
5,TSB,Tryptic soy broth,stys,Stachyose,stys,cpd01133,0.1800239432
6,TSB,Tryptic soy broth,raffin,Melitose,raffin,cpd00382,0.0594721254
7,TSB,Tryptic soy broth,starch,Starch,starch,cpd11657,0.1850246021
8,TSB,Tryptic soy broth,mannan,mannan,mannan,cpd11746,1.4801968168
9,TSB,Tryptic soy broth,pectin,Pectin,pectin,cpd11601,3.3996260411
10,TSB,Tryptic soy broth,ala__L,L-Alanine,ala_L,cpd00035,5.9870931538
11,TSB,Tryptic soy broth,arg__L,L-Arginine,arg_L,cpd00051,3.861021814
12,TSB,Tryptic soy broth,asp__L,L-Aspartate,asp_L,cpd00041,9.1987978963
13,TSB,Tryptic soy broth,cys__L,L-Cysteine,cys_L,cpd00084,0.5829207921
14,TSB,Tryptic soy broth,glu__L,L-Glutamate,glu_L,cpd00023,25.2972127804
15,TSB,Tryptic soy broth,gly,Glycine,gly,cpd00033,4.3728362184
16,TSB,Tryptic soy broth,his__L,L-Histidine,his_L,cpd00119,3.0599871134
17,TSB,Tryptic soy broth,ile__L,L-Isoleucine,ile_L,cpd00322,7.1884908537
18,TSB,Tryptic soy broth,leu__L,L-Leucine,leu_L,cpd00107,11.3816310976
19,TSB,Tryptic soy broth,lys__L,L-Lysine,lys_L,cpd00039,8.9273597811
20,TSB,Tryptic soy broth,met__L,L-Methionine,met_L,cpd00060,2.8445710456
21,TSB,Tryptic soy broth,phe__L,L-Phenylalanine,phe_L,cpd00066,5.0161016949
22,TSB,Tryptic soy broth,pro__L,L-Proline,pro_L,cpd00129,14.6513466551
23,TSB,Tryptic soy broth,ser__L,L-Serine,ser_L,cpd00054,8.7603235014
24,TSB,Tryptic soy broth,thr__L,L-Threonine,thr_L,cpd00161,6.0115869018
25,TSB,Tryptic soy broth,trp__L,L-Tryptophan,trp_L,cpd00065,1.0025954946
26,TSB,Tryptic soy broth,tyr__L,L-Tyrosine,tyr_L,cpd00069,4.6642935982
27,TSB,Tryptic soy broth,val__L,L-Valine,val_L,cpd00156,9.2303159693
28,TSB,Tryptic soy broth,ca2,Ca2+,ca2,cpd00063,0.2921802485
29,TSB,Tryptic soy broth,pi,Phosphate,pi,cpd00009,1.6543927961
30,TSB,Tryptic soy broth,na1,Na+,na1,cpd00971,0.76558354
31,TSB,Tryptic soy broth,k,K+,k,cpd00205,1.4223233925
32,TSB,Tryptic soy broth,mg2,Mg,mg2,cpd00254,0.3457624769
33,TSB,Tryptic soy broth,fe2,Fe2+,fe2,cpd10515,0.844607808
34,TSB,Tryptic soy broth,fe3,fe3,fe3,cpd10516,0.844607808
35,TSB,Tryptic soy broth,cu2,Cu2+,cu2,cpd00058,0.7872879489
36,TSB,Tryptic soy broth,zn2,Zn2+,zn2,cpd00034,0.232987152
37,TSB,Tryptic soy broth,mn2,Mn2+,mn2,cpd00030,0.13753868
38,TSB,Tryptic soy broth,fol,Folate,fol,cpd00393,0.2564114182
39,TSB,Tryptic soy broth,thm,Thiamine,thm,cpd00305,0.9881288864
40,TSB,Tryptic soy broth,ribflv,Riboflavin,ribflv,cpd00220,0.6934665356
41,TSB,Tryptic soy broth,nac,Niacin,nac,cpd00218,0.3955018869
42,TSB,Tryptic soy broth,pant__R,PAN,pant_R,cpd00644,0.1085112206
43,TSB,Tryptic soy broth,pydx,Pyridoxal,pydx,cpd00215,0.457631645
44,TSB,Tryptic soy broth,chol,Choline,chol,cpd00098,0.3337787557
45,TSB,Tryptic soy broth,ascb__L,L-Ascorbate,ascb_L,cpd00059,0.1022030434
46,TSB,Tryptic soy broth,gtocophe,Gamma-Tocopherol,gtocophe,cpd01631,0.6119804166
47,TSB,Tryptic soy broth,phllqne,Vitamin K1,phllqne,cpd01401,0.3128466829
48,TSB,Tryptic soy broth,cl,Cl-,cl,cpd00099,100.0
49,TSB,Tryptic soy broth,h,H+,h,cpd00067,100.0
50,TSB,Tryptic soy broth,cobalt2,Co2+,cobalt2,cpd00149,100.0
51,TSB,Tryptic soy broth,pheme,Heme,pheme,cpd00028,0.1
52,TSB,Tryptic soy broth,so4,Sulfate,so4,cpd00048,100.0
53,TSB[-O2],Tryptic soy broth anaerobic,h2o,H2O,h2o,cpd00001,100.0
54,TSB[-O2],Tryptic soy broth anaerobic,o2,O2,o2,cpd00007,100.0
55,TSB[-O2],Tryptic soy broth anaerobic,co2,CO2,co2,cpd00011,100.0
56,TSB[-O2],Tryptic soy broth anaerobic,glc__D,D-Glucose,glc_D,cpd00027,13.88
57,TSB[-O2],Tryptic soy broth anaerobic,sucr,Sucrose,sucr,cpd00076,0.4382120947
58,TSB[-O2],Tryptic soy broth anaerobic,stys,Stachyose,stys,cpd01133,0.1800239432
59,TSB[-O2],Tryptic soy broth anaerobic,raffin,Melitose,raffin,cpd00382,0.0594721254
60,TSB[-O2],Tryptic soy broth anaerobic,starch,Starch,starch,cpd11657,0.1850246021
61,TSB[-O2],Tryptic soy broth anaerobic,mannan,mannan,mannan,cpd11746,1.4801968168
62,TSB[-O2],Tryptic soy broth anaerobic,pectin,Pectin,pectin,cpd11601,3.3996260411
63,TSB[-O2],Tryptic soy broth anaerobic,ala__L,L-Alanine,ala_L,cpd00035,5.9870931538
64,TSB[-O2],Tryptic soy broth anaerobic,arg__L,L-Arginine,arg_L,cpd00051,3.861021814
65,TSB[-O2],Tryptic soy broth anaerobic,asp__L,L-Aspartate,asp_L,cpd00041,9.1987978963
66,TSB[-O2],Tryptic soy broth anaerobic,cys__L,L-Cysteine,cys_L,cpd00084,0.5829207921
67,TSB[-O2],Tryptic soy broth anaerobic,glu__L,L-Glutamate,glu_L,cpd00023,25.2972127804
68,TSB[-O2],Tryptic soy broth anaerobic,gly,Glycine,gly,cpd00033,4.3728362184
69,TSB[-O2],Tryptic soy broth anaerobic,his__L,L-Histidine,his_L,cpd00119,3.0599871134
70,TSB[-O2],Tryptic soy broth anaerobic,ile__L,L-Isoleucine,ile_L,cpd00322,7.1884908537
71,TSB[-O2],Tryptic soy broth anaerobic,leu__L,L-Leucine,leu_L,cpd00107,11.3816310976
72,TSB[-O2],Tryptic soy broth anaerobic,lys__L,L-Lysine,lys_L,cpd00039,8.9273597811
73,TSB[-O2],Tryptic soy broth anaerobic,met__L,L-Methionine,met_L,cpd00060,2.8445710456
74,TSB[-O2],Tryptic soy broth anaerobic,phe__L,L-Phenylalanine,phe_L,cpd00066,5.0161016949
75,TSB[-O2],Tryptic soy broth anaerobic,pro__L,L-Proline,pro_L,cpd00129,14.6513466551
76,TSB[-O2],Tryptic soy broth anaerobic,ser__L,L-Serine,ser_L,cpd00054,8.7603235014
77,TSB[-O2],Tryptic soy broth anaerobic,thr__L,L-Threonine,thr_L,cpd00161,6.0115869018
