name,smiles,count
10-Formyltetrahydrofolate,Nc1nc2c(c(=O)[nH]1)N[C@@H](CN(C=O)c1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1)CN2,34.0
"(R)-Propane-1,2-diol",C[C@@H](O)CO,5.0
"(S)-Propane-1,2-diol",C[C@H](O)CO,5.0
3-Phospho-D-glyceroyl phosphate,O=C(OP(=O)([O-])[O-])[C@H](O)COP(=O)([O-])[O-],15.0
"1,5-Diaminopentane",[NH3+]CCCCC[NH3+],7.0
1-Acyl-sn-glycero-3-phosphoethanolamine (n-C14:0),CCCCCCCCCCCCCC(=O)OC[C@@H](O)COP(=O)([O-])OCC[NH3+],28.0
1-Acyl-sn-glycero-3-phosphoethanolamine (n-C16:0),CCCCCCCCCCCCCCCC(=O)OC[C@@H](O)COP(=O)(O)OCCN,30.0
1-Acyl-sn-glycero-3-phosphoethanolamine (n-C18:0),CCCCCCCCCCCCCCCCCC(=O)OC[C@@H](O)COP(=O)([O-])OCC[NH3+],32.0
3-keto-L-gulonate-6-phosphate,O=C([O-])[C@@H](O)C(=O)[C@H](O)[C@@H](O)COP(=O)([O-])[O-],17.0
"Meso-2,6-Diaminoheptanedioate",N[C@@H](CCC[C@@H](N)C(=O)[O-])C(=O)[O-],13.0
3-Dehydroquinate,O=C1C[C@@](O)(C(=O)[O-])C[C@@H](O)[C@@H]1O,13.0
1-Acyl-sn-glycero-3-phosphoglycerol (n-C14:0),CCCCCCCCCCCCCC(=O)OC[C@@H](O)COP(=O)([O-])OC[C@@H](O)CO,30.0
3-Dehydroshikimate,O=C(O)C1=CC(=O)[C@@H](O)[C@H](O)C1,12.0
1-Acyl-sn-glycero-3-phosphoglycerol (n-C16:0),CCCCCCCCCCCCCCCC(=O)OC[C@@H](O)COP(=O)([O-])OC[C@@H](O)CO,32.0
Guanosine 3  phosphate C10H12N5O8P,Nc1nc2c(ncn2[C@@H]2O[C@H](CO)[C@@H](OP(=O)([O-])[O-])[C@H]2O)c(=O)[nH]1,24.0
1-Acyl-sn-glycero-3-phosphoglycerol (n-C18:0),CCCCCCCCCCCCCCCCCC(=O)OC[C@@H](O)COP(=O)(O)OC[C@@H](O)CO,34.0
1-Acyl-sn-glycero-3-phosphoglycerol (n-C18:1),CCCCCCCC/C=C\CCCCCCCC(=O)OC[C@@H](O)COP(=O)([O-])OC[C@@H](O)CO,34.0
1-dodecanoyl-sn-glycerol 3-phosphate,CCCCCCCCCCCC(=O)OC[C@@H](O)COP(=O)([O-])[O-],23.0
2-Acyl-sn-glycero-3-phosphoethanolamine (n-C16:0),CCCCCCCCCCCCCCCC(=O)O[C@H](CO)COP(=O)(O)OCCN,30.0
(S)-3-Hydroxybutanoyl-CoA,C[C@H](O)CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O,54.0
3-hydroxycinnamic acid,O=C(O)C=Cc1cccc(O)c1,12.0
2-Acyl-sn-glycero-3-phosphoethanolamine (n-C18:0),CCCCCCCCCCCCCCCCCC(=O)O[C@H](CO)COP(=O)([O-])OCC[NH3+],32.0
(S)-3-Hydroxydecanoyl-CoA,CCCCCCC[C@H](O)CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-],60.0
(S)-3-Hydroxydodecanoyl-CoA,CCCCCCCCC[C@H](O)CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-],62.0
