name,smiles,name_id,count
10-Formyltetrahydrofolate,Nc1nc2c(c(=O)[nH]1)N[C@@H](CN(C=O)c1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1)CN2,10fthf_c,34
"(R)-Propane-1,2-diol",C[C@@H](O)CO,12ppd__R_c,5
"(S)-Propane-1,2-diol",C[C@H](O)CO,12ppd__S_c,5
3-Phospho-D-glyceroyl phosphate,O=C(OP(=O)([O-])[O-])[C@H](O)COP(=O)([O-])[O-],13dpg_c,15
"1,5-Diaminopentane",[NH3+]CCCCC[NH3+],15dap_c,7
1-dodecanoyl-sn-glycerol 3-phosphate,CCCCCCCCCCCC(=O)OC[C@@H](O)COP(=O)([O-])[O-],1ddecg3p_c,23
1-octadecanoyl-sn-glycerol 3-phosphate,CCCCCCCCCCCCCCCCCC(=O)OC[C@@H](O)COP(=O)(O)O,1odecg3p_c,29
1-Pyrroline-5-carboxylate,O=C(O)[C@@H]1CCC=N1,1pyr5c_c,8
5-Dehydro-4-deoxy-D-glucarate,O=C([O-])C(=O)C[C@H](O)[C@@H](O)C(=O)[O-].[H+],5dh4dglc_c,13
5'-deoxyribose,C[C@@H](O)[C@@H](O)[C@@H](O)C=O,5drib_c,9
1-tetradecanoyl-sn-glycerol 3-phosphate,CCCCCCCCCCCCCC(=O)OC[C@@H](O)COP(=O)(O)O,1tdecg3p_c,25
2'-(5''-triphosphoribosyl)-3'-dephospho-CoA,CC(C)(COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O[C@H]2O[C@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]2O)[C@@H]1O)[C@@H](O)C(=O)NCCC(=O)NCCS,2tpr3dpcoa_c,65
5-Formyltetrahydrofolate,Nc1nc2c(c(=O)[nH]1)N(C=O)[C@@H](CNc1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1)CN2,5fthf_c,34
"2,3-diaminopropionate",NC[C@H](N)C(=O)O,23dappa_c,7
5-Methylthioadenosine,CSC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O,5mta_c,20
3-(4-Hydroxyphenyl)pyruvate,O=C([O-])C(=O)Cc1ccc(O)cc1,34hpp_c,13
"2,3-Dihydro-2,3-dihydroxybenzoate",O=C([O-])C1=CC=CC(O)C1O,23ddhb_c,11
"3',5'-Cyclic GMP",Nc1nc2c(ncn2[C@@H]2O[C@@H]3COP(=O)([O-])O[C@H]3[C@H]2O)c(=O)[nH]1,35cgmp_c,23
5-Methyltetrahydrofolate,CN1c2c(nc(N)[nH]c2=O)NC[C@@H]1CNc1ccc(C(=O)N[C@@H](CCC(=O)[O-])C(=O)[O-])cc1,5mthf_c,33
"2,3-dehydroadipyl-CoA",CC(C)(COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-])[C@@H](O)C(=O)NCCC(=O)NCCSC(=O)/C=C\CCC(=O)[O-],23dhacoa_c,57
5-Methylthio-D-ribose,CSC[C@@H](O)[C@@H](O)[C@@H](O)C=O,5mtr_c,11
3-Aminoacrylate,N/C=C\C(=O)[O-],3amac_c,6
"2,3-Dihydroxybenzoate",O=C(O)c1cccc(O)c1O,23dhb_c,11
3-Carboxy-2-hydroxy-4-methylpentanoate,CC(C)[C@H](C(=O)[O-])[C@@H](O)C(=O)[O-],3c2hmp_c,12
"N1-(5-Phospho-alpha-D-ribosyl)-5,6-dimethylbenzimidazole",Cc1cc2ncn([C@H]3O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]3O)c2cc1C,5prdmbz_c,24
"(2,3-Dihydroxybenzoyl)adenylate",Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])OC(=O)c2cccc(O)c2O)[C@@H](O)[C@H]1O,23dhba_c,33
6-hydroxymethyl dihydropterin,Nc1nc(O)c2c(n1)NCC(CO)=N2,6hmhpt_c,14
3-Carboxy-3-hydroxy-4-methylpentanoate,CC(C)[C@@](O)(CC(=O)O)C(=O)O,3c3hmp_c,12
"2,3-dihydroxybenzoylserine",O=C(N[C@@H](CO)C(=O)O)c1cccc(O)c1O,23dhbzs_c,17
3-Carboxy-4-methyl-2-oxopentanoate,CC(C)[C@H](C(=O)[O-])C(=O)C(=O)[O-],3c4mop_c,12
6-hydroxymethyl-dihydropterin pyrophosphate,Nc1nc(O)c2c(n1)NCC(COP(=O)(O)OP(=O)(O)O)=N2,6hmhptpp_c,22
"2,3-Dihydrodipicolinate",O=C(O)C1=N[C@H](C(=O)O)CC=C1,23dhdp_c,12
3-Dehydro-L-gulonate,O=C(O)[C@@H](O)C(=O)[C@H](O)[C@@H](O)CO,3dhguln_c,13
"(R)-2,3-Dihydroxy-3-methylbutanoate",CC(C)(O)[C@@H](O)C(=O)[O-],23dhmb_c,9
3-keto-L-gulonate-6-phosphate,O=C([O-])[C@@H](O)C(=O)[C@H](O)[C@@H](O)COP(=O)([O-])[O-],3dhgulnp_c,17
6-Phospho-D-gluconate,O=C([O-])[C@H](O)[C@@H](O)[C@H](O)[C@H](O)COP(=O)(O)O,6pgc_c,17
"(R)-2,3-Dihydroxy-3-methylpentanoate",CC[C@@](C)(O)[C@@H](O)C(=O)[O-],23dhmp_c,10
"6-phospho-D-glucono-1,5-lactone",O=C1O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H](O)[C@H]1O,6pgl_c,16
3-Dehydroquinate,O=C1C[C@@](O)(C(=O)[O-])C[C@@H](O)[C@@H]1O,3dhq_c,13
3-Dehydroshikimate,O=C(O)C1=CC(=O)[C@@H](O)[C@H](O)C1,3dhsk_c,12
"2,3-Dioxo-L-gulonate",O=C([O-])C(=O)C(=O)[C@H](O)[C@@H](O)CO,23doguln_c,13
8-Amino-7-oxononanoate,CC([NH3+])C(=O)CCCCCC(=O)[O-],8aonn_c,13
(S)-2-[5-Amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxamido]succinate,Nc1c(C(=O)N[C@@H](CC(=O)O)C(=O)O)ncn1[C@@H]1O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]1O,25aics_c,30
Acyl carrier protein,*S,ACP_c,1
"2,5-diketo-D-gluconate",O=C(O)C(=O)[C@@H](O)[C@H](O)C(=O)CO,25dkglcn_c,13
