name,smiles,count
Nc1ccc(C(F)(F)F)nc1Cl,Nc1ccc(C(F)(F)F)nc1Cl,12
CN(C[C@H]1CO1)C(=O)OC(C)(C)C,CN(C[C@H]1CO1)C(=O)OC(C)(C)C,13
COC(=O)C1=C(OS(=O)(=O)C(F)(F)F)CCN(C(=O)OC(C)(C)C)C1,COC(=O)C1=C(OS(=O)(=O)C(F)(F)F)CCN(C(=O)OC(C)(C)C)C1,25
CCC(CC)CC1CC(C#CC(=O)C(CCO[Si](c2ccccc2)(c2ccccc2)C(C)(C)C)CC(=O)OC(C)(C)C)C1,CCC(CC)CC1CC(C#CC(=O)C(CCO[Si](c2ccccc2)(c2ccccc2)C(C)(C)C)CC(=O)OC(C)(C)C)C1,43
COc1ccccc1N(C)C(=O)c1ccc(Cl)c(Br)c1,COc1ccccc1N(C)C(=O)c1ccc(Cl)c(Br)c1,20
COC(=O)Cc1ccc(C(=O)OC(C)(C)C)cc1,COC(=O)Cc1ccc(C(=O)OC(C)(C)C)cc1,18
Cl~NCc1cccc2c1CN(C1CCC(=O)NC1=O)C2=O,Cl~NCc1cccc2c1CN(C1CCC(=O)NC1=O)C2=O,21
[C]=O,[C]=O,2
O=C1C(Nc2ccc(OC(F)(F)F)cc2)=CC(c2cccc(OC(F)(F)F)c2)N1c1ccc(OC(F)(F)F)cc1,O=C1C(Nc2ccc(OC(F)(F)F)cc2)=CC(c2cccc(OC(F)(F)F)c2)N1c1ccc(OC(F)(F)F)cc1,40
CC(N)(CO)c1cccc(Br)c1,CC(N)(CO)c1cccc(Br)c1,12
OCCBr,OCCBr,4
OC[C@H](O)Cc1ccccc1,OC[C@H](O)Cc1ccccc1,11
CCOC(=O)CC1OB(O)c2cc(O)cc(COC)c21,CCOC(=O)CC1OB(O)c2cc(O)cc(COC)c21,20
COc1ccc2ncccc2c1Br,COc1ccc2ncccc2c1Br,13
Ic1cnccn1,Ic1cnccn1,7
Cn1cc(C(=O)O)c(=O)n1-c1ccccc1Cl,Cn1cc(C(=O)O)c(=O)n1-c1ccccc1Cl,17
Brc1ccc(I)cc1,Brc1ccc(I)cc1,8
COC(=O)c1sccc1C1CCN(C(=O)OC(C)(C)C)CC1,COC(=O)c1sccc1C1CCN(C(=O)OC(C)(C)C)CC1,22
OC1CNCC12CC2,OC1CNCC12CC2,8
