name,smiles,count
CNC(=O)c1ccc(Br)cc1CO,CNC(=O)c1ccc(Br)cc1CO,13
Clc1ccc(Br)cc1,Clc1ccc(Br)cc1,8
COC(=O)c1cc(F)ccc1O,COC(=O)c1cc(F)ccc1O,12
O=C(C(Br)Br)C1CCOCC1,O=C(C(Br)Br)C1CCOCC1,11
CCOC(=O)c1c(/C=C/N(C)C)nc(SC)nc1Nc1cc(OC)cc(OC)c1,CCOC(=O)c1c(/C=C/N(C)C)nc(SC)nc1Nc1cc(OC)cc(OC)c1,29
CC(C)(C)c1ccc(OS(C)(=O)=O)c(C(C)(C)C)c1,CC(C)(C)c1ccc(OS(C)(=O)=O)c(C(C)(C)C)c1,19
CC[SiH](CC)CC,CC[SiH](CC)CC,7
CCCCP(CCCC)CCCC,CCCCP(CCCC)CCCC,13
CC(O)(CC#N)c1ccccc1F,CC(O)(CC#N)c1ccccc1F,13
COC(=O)c1sccc1OC(C)c1ccccc1Cl,COC(=O)c1sccc1OC(C)c1ccccc1Cl,19
BrCc1ncccc1Br,BrCc1ncccc1Br,9
CC(C)(CCCCCC(O)CCCCCC(C)(C)CC(=O)c1cccnc1)COC(=O)c1cccnc1,CC(C)(CCCCCC(O)CCCCCC(C)(C)CC(=O)c1cccnc1)COC(=O)c1cccnc1,37
CCCCOc1cc(/C=C(\OC)C(=O)OC)ccc1O,CCCCOc1cc(/C=C(\OC)C(=O)OC)ccc1O,20
O=C(O)c1cc2nccc(Oc3ccc([N+](=O)[O-])cc3F)c2s1,O=C(O)c1cc2nccc(Oc3ccc([N+](=O)[O-])cc3F)c2s1,23
O=C1COC(=O)C1,O=C1COC(=O)C1,7
O=C(O)CCCOCc1ccccc1,O=C(O)CCCOCc1ccccc1,14
CNc1cc2cccnc2cc1F,CNc1cc2cccnc2cc1F,13
O=C1C(=O)N(CCC2CC2)c2ccccc21,O=C1C(=O)N(CCC2CC2)c2ccccc21,16
COc1cc(CC(N)C(=O)O)ccc1O,COc1cc(CC(N)C(=O)O)ccc1O,15
CN(C[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@@H]2OC(C)(C)O[C@H]12)C1CC(CCC(=O)O)C1,CN(C[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@@H]2OC(C)(C)O[C@H]12)C1CC(CCC(=O)O)C1,32
COc1cc(C2=Cc3ccc(OCc4ccccc4)cc3CC2)c([N+](=O)[O-])cc1OC,COc1cc(C2=Cc3ccc(OCc4ccccc4)cc3CC2)c([N+](=O)[O-])cc1OC,31
C=Cc1ccc2c(c1)NC(=O)CCC2=O,C=Cc1ccc2c(c1)NC(=O)CCC2=O,15
O=[N+]([O-])c1ccc(C2CC2)cc1F,O=[N+]([O-])c1ccc(C2CC2)cc1F,13
COc1cccc(-c2nc3cc(Br)ccn3n2)c1,COc1cccc(-c2nc3cc(Br)ccn3n2)c1,18
C=CCc1cn(S(=O)(=O)c2ccccc2)c2cccc(C(=O)OC)c12,C=CCc1cn(S(=O)(=O)c2ccccc2)c2cccc(C(=O)OC)c12,25
O=S([O-])([O-])=S~[Na+]~[Na+],O=S([O-])([O-])=S~[Na+]~[Na+],7
Oc1cccc2ccc(-c3nnc4ccccn34)nc12,Oc1cccc2ccc(-c3nnc4ccccn34)nc12,20
CS(=O)(=O)CCCOc1cccc2c1ccn2-c1ccnc(NC2CCC(C(=O)O)CC2)n1,CS(=O)(=O)CCCOc1cccc2c1ccn2-c1ccnc(NC2CCC(C(=O)O)CC2)n1,33
CC(=O)C(=NNc1ccccc1)C(C)=O,CC(=O)C(=NNc1ccccc1)C(C)=O,15
COC(=O)c1ccc2nc(NNC(=O)C3CCOCC3)c(Cl)nc2c1,COC(=O)c1ccc2nc(NNC(=O)C3CCOCC3)c(Cl)nc2c1,25
CCOC(=O)c1c(C)nc2c(c1O)c1c(n2C2CC2)CCCC1,CCOC(=O)c1c(C)nc2c(c1O)c1c(n2C2CC2)CCCC1,23
COc1ccc(Cn2cc(C(=O)CC#N)cn2)cc1,COc1ccc(Cn2cc(C(=O)CC#N)cn2)cc1,19
COCc1ccc(Br)c(C#N)n1,COCc1ccc(Br)c(C#N)n1,12
O=C(O)c1ccccc1C(=O)c1ccccc1,O=C(O)c1ccccc1C(=O)c1ccccc1,17
N#Cc1cc(I)c(O)c([N+](=O)[O-])c1,N#Cc1cc(I)c(O)c([N+](=O)[O-])c1,13
COCOCC1CN(C(=O)OC(C)(C)C)CCC1O,COCOCC1CN(C(=O)OC(C)(C)C)CCC1O,19
CN1CCC[C@@H]1c1cccnc1,CN1CCC[C@@H]1c1cccnc1,12
CC(=O)c1cc(C)cc(Br)c1O,CC(=O)c1cc(C)cc(Br)c1O,12
CCOC(=O)CCN(Cc1ccccc1)CC(C(=O)OCC)c1ccc(Cl)c(Cl)c1,CCOC(=O)CCN(Cc1ccccc1)CC(C(=O)OCC)c1ccc(Cl)c(Cl)c1,30
CCOC(=O)c1ccc(-c2c(F)c(OC)cc(OC)c2F)c2nccnc12,CCOC(=O)c1ccc(-c2c(F)c(OC)cc(OC)c2F)c2nccnc12,27
C1=C(N2CCCC2)CCC(C2CCC3(CC2)OCCO3)C1,C1=C(N2CCCC2)CCC(C2CCC3(CC2)OCCO3)C1,21
COC(=O)C1CCNC(CCc2ccc(F)cc2)C1,COC(=O)C1CCNC(CCc2ccc(F)cc2)C1,19
CON(C)C(=O)c1ccc(C2(NC(=O)OC(C)(C)C)CCC2)cc1,CON(C)C(=O)c1ccc(C2(NC(=O)OC(C)(C)C)CCC2)cc1,24
Nc1ncc(Br)nc1NCc1ccc2ncccc2c1,Nc1ncc(Br)nc1NCc1ccc2ncccc2c1,20
O=C1Nc2c(C(F)(F)F)cccc2C1(CO)c1cc2c(cc1O)OCO2,O=C1Nc2c(C(F)(F)F)cccc2C1(CO)c1cc2c(cc1O)OCO2,26
CC(C)c1nc2c(C(=O)NCC3CCN(CC4CCNCC4)CC3)cccc2[nH]1,CC(C)c1nc2c(C(=O)NCC3CCN(CC4CCNCC4)CC3)cccc2[nH]1,29
Cc1nc(F)ccc1[N+](=O)[O-],Cc1nc(F)ccc1[N+](=O)[O-],11
Clc1ccc(Cl)cc1,Clc1ccc(Cl)cc1,8
Cc1cc(C=O)sc1C1OCCO1,Cc1cc(C=O)sc1C1OCCO1,13
COCCN(C(C)=O)c1c(OCc2ccccc2)cc(Br)cc1[N+](=O)[O-],COCCN(C(C)=O)c1c(OCc2ccccc2)cc(Br)cc1[N+](=O)[O-],26
COc1cc2c(cc1N)-c1c(-c3cccs3)c3c(n1CC2)C(=O)N(C(C)(C)C)CCCC3,COc1cc2c(cc1N)-c1c(-c3cccs3)c3c(n1CC2)C(=O)N(C(C)(C)C)CCCC3,32
COc1ccc(O)c2c1CCC2,COc1ccc(O)c2c1CCC2,12
COCCN(Cc1ccc(-c2cc3nccc(Cl)c3s2)nc1)C(=O)OC(C)(C)C,COCCN(Cc1ccc(-c2cc3nccc(Cl)c3s2)nc1)C(=O)OC(C)(C)C,29
COc1cc(CO)ccc1F,COc1cc(CO)ccc1F,11
COc1ccc2c(c1)CCC(OS(=O)(=O)C(F)(F)F)=C2,COc1ccc2c(c1)CCC(OS(=O)(=O)C(F)(F)F)=C2,20
CC1(C)c2cc(Br)ccc2-c2ccc(C(=O)c3ccccc3C(=O)O)cc21,CC1(C)c2cc(Br)ccc2-c2ccc(C(=O)c3ccccc3C(=O)O)cc21,27
COc1ccc2c(c1)CCC(c1ccc(OC)cc1[N+](=O)[O-])=C2,COc1ccc2c(c1)CCC(c1ccc(OC)cc1[N+](=O)[O-])=C2,23
CCCCOc1cccc(CC[N+](=O)[O-])c1,CCCCOc1cccc(CC[N+](=O)[O-])c1,16
C1CCOC1~CCN(CC)CC,CCN(CC)CC~C1CCCO1,12
Cc1cc(C=O)ccc1O,Cc1cc(C=O)ccc1O,10
C1CNCCNC1,C1CNCCNC1,7
CC1=C(Br)C=CC(Cl)(C=NO)C1,CC1=C(Br)C=CC(Cl)(C=NO)C1,12
Cc1nn(C)c(C)c1C(=O)Cl,Cc1nn(C)c(C)c1C(=O)Cl,11
Nc1ccc(OCc2ccccn2)c(Cl)c1,Nc1ccc(OCc2ccccn2)c(Cl)c1,16
