,0
DESAT18_4,0.95740974
OA48PVL,0.939358
PLPSD1801845Z9Z12Z15Z,0.9146803
HEPK2,0.9501054
4TMEABUTNt2,0.94385546
DOLASNT12,0.9170698
COMCOA,0.9395396
GALMAN600c_e,0.9320013
STS4,0.95194936
PPACO,0.9570447
PLDAGAT_HDE_HDE_HDE_PE_14_c,0.95786446
ARACHETH,0.92203814
AMPEP1,0.9486226
CTI1,0.8915698
DHCRD2_cho,0.9556301
2HATVACIDGLUCteb,0.8653763
CREAT,0.9555855
ACNACNGAL14ACGLCGALGLUSIDEte,0.7108766
LCAT12e,0.9522349
ILEASPr,0.94165885
COLIPAabcpp,0.95325255
PCW3DS_STC_STA_sn2_c,0.9552767
PLDPC_DHA_OLE_c,0.9559406
DAGAH_DHA_OLE_c,0.9564899
PPAP_16_0_18_0,0.9545262
WCOS,0.9282874
GBPS,0.9460727
RE2250C,0.53109723
PLA2PC_STC_ALNA_c,0.95675635
PCHOLN15_HSABCt,0.9471263
PLDAGAT_HDE_HDE_HDE_PE_15_c,0.9578413
PAPA1,0.9088205
ORNCD,0.9582532
GLGP,0.95560074
r1855,0.95823866
HEX4,0.9562781
5HTRPVESSEC,0.95042294
CARVEOLte,0.73452014
PROGLYPEPT1tc,0.9261828
HCO3_NAt,0.9583282
6M3HOAHL,0.9191273
S4FE4SR,0.9350686
ALDD8,0.92620623
r1909,0.95822835
CBLAT_DELETE,0.9551749
PLDAGAT_HDE_EPA_PALM_PC_5_c,0.9579932
L_LACD3_1,0.95702136
OMCPPCI2,0.8504504
PI45PLC_18_1_20_4,0.9517898
MYC2CYC3,0.93754613
OA7LST,0.9246585
SLGH,0.9493905
NAHCO3_HCLt2,0.9581488
OHACT3,0.91782105
RSVATPtu,0.946344
TRPTHRILEt,0.89432925
C180SN,0.9574961
PI4PLC_18_2_18_2,0.9520676
LPCH2264Z7Z10Z13Z16Z19Z_sn1_c,0.9580129
PMI1346PH,0.9503628
CYTBD,0.957297
ARGHISTHRr,0.94474137
ETHAPT_PALM_MYRS_c,0.9568143
PI345P5P_cho,0.9546782
r1666,0.9582011
DTTUP,0.9572447
LPS30TVL,0.58401644
PLDPC_MYRS_EPA_c,0.95665157
RN0020C,0.88970417
DHCHOLESTANATEt,0.9475409
HMR_0391,0.94949305
MGDG160,0.9576205
EDTXSF120,0.9349494
r2274,0.95484483
ARGPROTHRr,0.94187814
HMR_2016,0.94945204
LCYSTCBOXL,0.95742834
CHOPT_LNA_LNA_c,0.957124
EAR200_c,0.9458539
FUCFUC12GAL14ACGLCGALGLUSIDEte,0.0667139
CITt10,0.9516839
NAGINS,0.94537723
